transport_do_sklepow_tyg [*,Piaseczno,Buraki,*] (tr)
:  ArabicGroceryShop DobryWarzywniak Krzesak UKermita    :=
1    2.539   1.267    1.337
2    0.000   0.000    0.000
3    0.000   1.327    0.776
4    0.900   0.000    1.939
5    1.478   0.000    0.000
6    0.000   0.000    0.000
7    0.966   0.000    0.641
8    0.647   0.652    2.652
9    0.862   0.000    0.000
10   0.000   0.413    0.000
11   0.000   0.947    0.000
12   0.179   0.000    0.000
13   0.000   0.000    1.783
14   0.000   0.000    0.000
15   0.000   0.000    0.000
16   0.000   1.588    2.319
17   0.030   0.000    0.000
18   0.000   0.000    0.000
19   0.702   0.000    0.000
20   0.000   0.000    0.000
21   0.000   0.352    1.083
22   0.000   0.784    0.000
23   1.800   0.000    1.414
24   0.000   0.000    0.000
25   0.000   0.000    2.644
26   0.000   1.648    0.000
27   0.000   0.000    0.000
28   0.000   0.000    1.260
29   0.000   0.737    0.000
30   0.000   0.722    1.763
31   5.268   2.359    0.000
32   0.000   0.000    0.958
33   0.418   0.000    2.197
34   0.000   0.000    0.000
35   0.000   0.000    0.000
36   0.000   0.000    2.644
37   0.000   0.712    0.000
38   2.106   1.257    0.000
39   0.000   0.000    0.071
40   3.175   0.000    1.346
41   0.000   0.000    0.000
42   0.000   0.000    0.905
43   0.000   0.000    1.863
44   0.000   1.949    0.000
45   0.000   0.000    0.804
46   0.855   0.000    1.055
47   0.861   2.282    2.997
48   2.470   0.000    0.000
49   0.000   0.000    0.000
50   0.000   0.000    0.000
51   0.000   0.000    0.798
52   0.000   0.000    0.500

 [*,Pruszkow,Marchew,*] (tr)
:  ArabicGroceryShop Krzesak UAktora UCHLOPAKOW    :=
1         1.122        0.000   1.081    1.153
2         1.298        0.308   1.637    2.212
3         3.804        0.000   1.247    0.000
4         0.000        0.000   0.000    1.796
5         0.000        0.000   2.282    0.000
6         1.379        0.000   0.000    1.739
7         0.000        0.000   0.000    0.000
8         1.133        0.000   1.021    2.416
9         3.554        0.000   2.107    0.000
10        0.253        0.000   0.000    1.146
11        0.000        0.000   0.000    0.000
12        1.326        0.000   1.957    0.938
13        0.000        0.000   0.000    0.000
14        1.383        0.000   0.000    0.899
15        0.000        0.000   2.120    4.306
16        2.208        0.000   0.000    0.000
17        0.000        0.000   0.000    0.000
18        3.304        0.000   1.358    0.000
19        0.000        0.000   1.086    0.000
20        0.000        0.000   0.000    0.000
21        0.000        0.000   4.448    2.473
22        1.059        0.000   0.000    0.000
23        3.492        0.000   0.000    0.561
24        0.000        0.000   0.000    2.275
25        0.000        0.000   0.000    0.000
26        1.954        1.713   0.019    3.886
27        0.148        0.000   1.871    0.000
28        1.365        0.000   0.000    0.276
29        1.286        0.000   2.089    0.000
30        2.438        0.000   0.000    2.536
