transport_do_sklepow_tyg [*,Piaseczno,Buraki,*] (tr)
:  ArabicGroceryShop DobryWarzywniak Krzesak UKermita UPanaWojtka    :=
5    1.839   0.000    0.000
6    0.000   0.000    0.542
7    0.814   0.000    0.411
8    0.746   0.000    2.713
9    0.668   0.000    0.000
10   0.000   0.533    0.000
11   0.000   0.719    0.000
12   0.000   0.000    0.000
13   0.000   0.000    1.740
14   0.000   0.000    0.000
15   0.000   0.000    0.000
16   0.000   1.134    2.161
17   0.378   0.000    0.000
18   0.000   0.000    0.000
19   0.795   0.000    1.050
20   0.000   0.000    0.000
21   0.000   0.662    1.029
22   0.000   0.775    0.000
23   0.000   0.000    1.336
24   0.000   0.000    0.000
25   0.000   0.000    2.102
26   0.000   1.317    0.000
27   0.000   0.000    0.000
28   0.000   1.279    1.363
29   0.000   0.000    0.000
30   0.000   0.677    1.276
31   2.434   2.191    0.000
32   0.000   0.000    0.726
33   0.328   0.000    2.073
34   0.000   0.000    0.514
35   0.000   0.000    0.000
36   0.000   0.000    2.489
37   0.000   0.531    0.000
38   0.000   1.358    0.000
39   1.126   0.000    0.732
40   2.861   1.742    1.709
41   0.000   0.000    0.000
42   0.668   0.000    1.547
43   0.000   0.000    1.487
44   0.000   1.475    0.000
45   0.000   0.000    0.000
46   1.280   0.733    0.834
47   0.968   2.466    2.372
48   3.044   0.000    0.000
49   0.000   0.000    0.577
50   0.000   0.000    0.599
51   0.000   0.000    0.839
52   0.000   0.564    0.682

 [*,Pruszkow,Marchew,*] (tr)
:  ArabicGroceryShop Krzesak UAktora UCHLOPAKOW UPanaWojtka    :=
1         1.563        0.000   1.019    1.054       0.000
2         1.080        0.201   1.964    2.213       0.000
3         3.585        0.000   0.000    0.000       0.000
4         0.000        0.000   0.000    2.453       0.000
5         0.000        0.000   2.518    0.000       0.000
6         1.628        0.000   0.000    1.406       0.000
7         0.000        0.000   0.000    0.000       0.000
8         0.965        0.000   0.000    2.266       0.000
9         3.269        0.000   2.571    0.000       0.000
10        1.106        0.000   0.000    1.841       0.000
11        0.000        0.000   0.000    0.000       0.000
12        0.000        0.000   1.883    0.680       0.000
13        0.000        0.000   0.000    0.000       0.000
14        2.119        0.000   0.000    0.871       0.000
15        0.000        0.000   1.925    4.671       0.000
16        1.629        0.000   0.000    0.000       0.000
17        0.000        0.000   0.000    0.000       0.000
18        3.530        0.000   1.844    0.734       0.000
19        0.000        0.000   0.305    0.000       0.000
20        0.000        0.000   0.000    0.000       0.000
21        0.000        0.000   3.619    2.281       0.000
22        1.426        0.000   1.103    0.000       0.000
23        3.100        0.000   0.000    0.064       0.000
24        0.000        0.000   0.000    2.125       0.000
25        0.000        0.000   0.000    0.000       0.000
26        1.549        1.541   0.000    3.898       0.000
27        0.584        0.000   1.771    0.000       0.000
28        1.342        0.000   0.000    0.000       0.000
29        1.162        0.000   1.700    0.000       0.000
30        2.730        0.000   0.000    1.819       0.000
31        0.000        0.000   1.799    0.000       0.000
32        1.432        0.000   0.000    3.930       0.000
33        1.182        0.000   1.834    0.000       0.000
34        1.410        0.000   0.740    0.000       0.000
35        1.424        0.000   1.296    2.293       0.000
36        2.655        0.000   2.792    0.000       0.000
37        0.000        0.000   0.000    2.070       0.000
38        2.247        0.000   1.243    0.000       0.000
39        0.601        0.000   0.000    2.276       0.000
40        2.051        0.000   1.041    0.000       0.545
41        2.855        0.000   0.735    1.122       0.000
42        0.319        0.000   4.152    2.082       0.000
43        0.000        0.000   0.000    0.000       0.000
44        3.000        0.000   0.000    1.929       0.000
45        0.000        0.881   0.078    0.000       0.000
46        0.819        0.000   1.013    4.074       0.000
47        1.124        0.000   1.056    0.000       0.000
48        1.299        0.000   2.587    0.000       0.000
49        1.435        0.000   0.000    1.586       0.000
50        2.124        0.000   0.000    2.325       0.000
51        0.000        0.000   1.680    0.000       0.000
52        1.355        0.000   0.000    0.800       0.000

 [*,Pruszkow,Ziemniaki,*] (tr)
:  UAktora UCHLOPAKOW    :=
1    1.408    4.631
2    2.736    0.000
3    0.000    0.000
4    0.886    1.268
5    0.000    1.935
6    2.637    1.181
7    0.000    2.928
8    0.000    0.000
9    3.290    0.000
10   0.312    1.916
11   0.000    0.000
12   1.523    3.615
13   2.358    0.000
14   0.000    1.611
15   0.055    0.000
16   1.508    1.495
17   0.000    2.642
18   4.448    0.000
19   0.000    2.400
20   0.000    0.000
21   0.389    4.486
22   0.000    0.000
23   2.257    0.000
24   0.000    1.471
25   4.172    0.551
26   0.000    1.083
27   2.089    2.955
28   0.000    0.000
29   0.000    5.083
30   3.593    0.377
31   0.000    0.000
32   0.133    0.000
33   1.918    2.217
34   3.700    1.567
35   0.000    3.622
36   2.018    0.000
37   2.488    1.257
38   0.000    3.538
39   4.534    0.000
40   0.000    1.543
41   0.000    5.351
42   0.254    0.000
43   1.538    0.809
44   1.830    0.000
45   1.691    3.239
46   3.089    0.000
47   0.000    2.021
48   1.961    1.600
49   0.000    3.316
50   1.574    3.400
51   1.364    0.000
52   1.129    0.000

 [*,Zielonka,Buraki,*] (tr)
:  Stoisko UKarolci UPanaWojtka VegitoWarzywa    :=
1    1.181   5.665      2.852        2.620
2    2.624   0.000      0.000        0.000
3    0.365   0.000      1.691        3.716
4    0.000   1.707      0.000        0.000
5    0.997   3.080      0.000        0.000
6    1.082   0.000      0.000        1.296
7    3.556   3.411      1.116        2.382
8    0.000   0.000      4.110        0.000
9    0.000   1.463      0.000        3.919
10   0.005   2.922      0.404        0.271
11   1.370   0.000      0.000        0.000
12   0.000   7.331      0.678        0.000
13   0.637   0.000      0.843        3.297
14   1.926   0.000      3.340        0.000
15   0.000   0.000      0.000        0.000
16   0.523   0.000      0.000        2.085
17   2.182   0.529      1.059        0.000
18   0.000   4.342      2.383        1.223
19   1.335   0.000      0.000        1.229
20   0.000   0.000      0.771        1.044
21   2.155   1.629      1.812        5.076
22   1.569   5.256      0.000        0.000
23   0.000   0.000      1.621        0.000
24   0.000   0.000      1.650        0.000
25   1.098   1.187      0.000        1.299
26   3.220   5.639      2.453        3.011
27   0.000   0.000      0.000        0.914
28   0.000   0.000      1.908        0.000
29   1.945   0.819      0.546        2.792
30   0.000   2.864      0.000        0.000
31   0.973   1.383      2.473        2.302
32   1.082   3.964      0.000        3.580
33   1.507   0.000      2.870        0.128
34   0.924   3.839      0.000        0.000
35   1.293   0.000      0.000        1.545
36   0.000   2.074      3.176        1.533
37   2.652   2.154      0.000        1.533
38   0.000   2.147      0.000        1.296
39   1.245   2.147      0.000        1.555
40   0.398   5.647      3.623        1.501
41   1.880   0.000      0.000        1.536
42   0.000   0.000      0.000        3.026
43   1.073   2.147      0.000        0.000
44   3.125   7.771      1.227        1.028
45   0.000   0.000      1.227        2.880
46   0.000   0.000      1.227        0.000
47   0.590   2.100      2.453        2.780
48   2.147   0.000      0.000        0.000
49   0.000   2.070      1.227        2.614
50   0.865   5.693      3.256        0.000
51   1.941   0.000      0.000        1.114
52   0.000   0.000      0.000        1.432

